icao24,registration,typecode,age,airline
80172d,VT-IXO,A20N,Oct 2024,IGO
0d0ce0,XA-VRR,A20N,Nov 2020,VOI
800cc7,VT-EXN,A20N,Dec 2018,AIC
e49aaa,PR-XBO,A20N,Jul 2023,TAM
75876b,RP-C4267,A20N,Oct 2021,CEB
40756d,G-UZHO,A20N,Sep 2018,EZY
80149c,VT-IIL,A20N,Nov 2021,IGO
4b1812,HB-JDA,A20N,Feb 2020,SWR
80161a,VT-IQK,A20N,,IGO
4bb859,TC-NBY,A20N,Jul 2018,PGT
34608e,EC-NAY,A20N,Nov 2018,IBE
706213,9K-CBC,A20N,Nov 2019,JZR
46b8b6,SX-NEV,A20N,Mar 2025,AEE
a37a02,N323FR,A20N,Nov 2017,FFT
39de4f,F-HXSP,A20N,,TVF
801627,VT-RTG,A20N,,AXB
01023c,SU-BUT,A20N,,MSC
40756a,G-UZHK,A20N,Aug 2018,EZY
800b73,VT-ITB,A20N,Sep 2015,IGO
4cacb5,EI-SIB,A20N,Dec 2017,SAS
801663,VT-IQU,A20N,,IGO
4acb45,SE-RZE,A20N,,SAS
407567,G-UZHM,A20N,Sep 2018,EZY
4cac79,EI-SIJ,A20N,Jan 2022,SAS
3c55c6,D-AENF,A20N,Jul 2022,EWG
44cc44,OO-SBD,A20N,May 2024,BEL
801470,VT-IIF,A20N,Aug 2021,IGO
39de46,F-HXSG,A20N,Aug 2024,TVF
880c47,HS-CBG,A20N,Jan 2018,AIQ
0d0d36,XA-VRY,A20N,May 2021,VOI
46a5e7,SX-IOG,A20N,Oct 2020,SEH
80152f,VT-IPF,A20N,,IGO
800c12,VT-ITV,A20N,Nov 2016,IGO
a70151,N550VL,A20N,,VOI
8016a3,VT-IXD,A20N,,IGO
801596,VT-IPQ,A20N,,IGO
781842,B-30CN,A20N,Dec 2019,CQH
4b181a,HB-JDI,A20N,,SWR
e80615,CC-AWV,A20N,Oct 2022,JEC
4cad7f,EI-NSF,A20N,,EIN
8015ce,VT-IPW,A20N,,IGO
3c6549,D-AIJI,A20N,Jan 2023,LHX
89409c,A9C-TE,A20N,Nov 2019,GFA
800db0,VT-TNM,A20N,Nov 2019,AIC
801560,VT-IPM,A20N,,IGO
70606e,9K-AKS,A20N,,KAC
7705c2,4R-ANB,A20N,Mar 2017,ALK
468d07,SX-CHG,A20N,Apr 2020,SEH
346147,EC-NCM,A20N,Mar 2019,IBE
80149a,VT-IIK,A20N,Oct 2021,IGO
781d39,B-327Y,A20N,Dec 2021,CES
801726,VT-IXN,A20N,Sep 2024,IGO
0d0de6,XA-VSJ,A20N,Jun 2020,VOI
4ac9f0,SE-ROP,A20N,Aug 2018,SAS
8014f7,VT-IIY,A20N,Jul 2022,IGO
8014bc,VT-IIR,A20N,Dec 2021,IGO
781842,B-30CN,A20N,Dec 2019,CQH
4d24ba,9H-NEE,A20N,,KMM
4acaa1,SE-RUA,A20N,Jun 2020,SAS
01024d,SU-BUZ,A20N,Sep 2022,MSC
4073a1,G-UZHD,A20N,,EZY
801458,VT-ISW,A20N,Jun 2021,IGO
4cadee,EI-HON,A20N,,ITY
e8061c,CC-DIG,A20N,Jan 2024,JAP
75876b,RP-C4267,A20N,Oct 2021,CEB
440c33,OE-LSK,A20N,Oct 2019,EJU
440073,OE-LSU,A20N,Mar 2024,EJU
add3d9,N990NK,A20N,Feb 2024,NKS
e49ec9,PR-YSR,A20N,,AZU
75876b,RP-C4267,A20N,Oct 2021,CEB
46b8b3,SX-NES,A20N,Apr 2024,AEE
4b0274,HB-AYE,A20N,,EZS
c827b1,ZK-NHC,A20N,Mar 2019,ANZ
4acb58,SE-RZX,A20N,Aug 2023,SAS
3c786b,D-ANCK,A20N,Apr 2025,CFG
4ac9ec,SE-ROL,A20N,Jan 2020,SAS
801527,VT-IPD,A20N,,IGO
800c38,VT-ITX,A20N,Mar 2017,IGO
e49697,PR-XBG,A20N,Dec 2023,TAM
3c654d,D-AIJM,A20N,Jul 2023,LHX
c82953,ZK-NHF,A20N,Oct 2021,ANZ
346499,EC-NJY,A20N,Aug 2020,IBE
4ac9f5,SE-ROU,A20N,Dec 2019,SAS
800d2d,VT-IZF,A20N,Nov 2018,IGO
4075fd,G-TTNH,A20N,Jan 2019,BAW
781931,B-30ES,A20N,Mar 2020,CES
4caeb6,EI-KIB,A20N,Jul 2024,KZR
710dc1,HZ-NS29,A20N,Jul 2020,KNE
e80047,CC-DBN,A20N,Nov 2024,VIV
4bb849,TC-NBI,A20N,Dec 2016,PGT
750440,9M-AGG,A20N,Jul 2017,AXM
0ac9ee,HK-5367,A20N,May 2021,AVA
4952c7,CS-TVG,A20N,Nov 2019,TAP
7821c1,B-32JF,A20N,,CGZ
0ac9f0,HK-5365,A20N,Mar 2021,AVA
407796,G-UZLD,A20N,Jun 2019,EZY
7817a5,B-30AD,A20N,Jul 2019,CQH
801495,VT-TQG,A20N,Jul 2021,AIC
706131,9K-CBJ,A20N,,JZR
744821,JY-RAA,A20N,Oct 2024,RJA
a6f23d,N547DE,A21N,,DAL
801745,VT-IWS,A21N,,IGO
8991d4,B-58206,A21N,Oct 2021,SJX
407b8b,G-WUKP,A21N,Mar 2021,WUK
407fc2,G-WUKV,A21N,Sep 2023,WUK
789294,B-KKJ,A21N,Sep 2024,HKE
4d2453,9H-WBI,A21N,Jul 2022,WZZ
4bb26b,TC-LSK,A21N,Oct 2019,THY
40812d,G-UZMK,A21N,,EZY
80180c,VT-NCV,A21N,Aug 2025,IGO
407b54,G-WUKM,A21N,,WUK
789265,B-HPO,A21N,Jan 2023,CPA
78927f,B-KKC,A21N,,HKE
7c4a4f,VH-OYP,A21N,Jan 2024,JST
4d2534,9H-WNH,A21N,,WZZ
0d0e04,XA-VSB,A21N,Mar 2022,VOI
801405,VT-ILC,A21N,Nov 2020,IGO
7c47ac,VH-OFY,A21N,Jul 2023,JST
3c64ab,D-AIEK,A21N,Jul 2021,DLH
a9737c,N708NK,A21N,Sep 2023,NKS
4075fe,G-NEOS,A21N,Jan 2019,BAW
4bc88e,TC-RDN,A21N,,PGT
71c357,HL8357,A21N,Oct 2021,ABL
8016bc,VT-ICX,A21N,,IGO
4867c4,PH-AXI,A21N,,KLM
a1bc92,N2105J,A21N,,JBU
4bc8cb,TC-RFK,A21N,Nov 2024,PGT
4bc8ce,TC-RFN,A21N,,PGT
4d2064,9H-XLA,A21N,Apr 2025,WMT
408260,G-SUNV,A21N,Aug 2025,EXS
a7a532,N592DT,A21N,,DAL
e8062c,CC-DIS,A21N,Mar 2025,JES
a6e720,N544DN,A21N,Oct 2023,DAL
46b823,SX-NAC,A21N,Nov 2020,AEE
a5502b,N441UW,A21N,Nov 2021,AAL
3c1cd9,D-AZYA,A21N,,AIB
471db5,HA-LGN,A21N,Jun 2024,WZZ
4075ff,G-NEOR,A21N,Nov 2018,BAW
4d241c,9H-WAG,A21N,Mar 2021,WZZ
801788,VT-NCG,A21N,Mar 2025,IGO
789290,B-HPR,A21N,,CPA
781e30,B-32AW,A21N,Feb 2023,CSC
e8062c,CC-DIS,A21N,Mar 2025,JES
4bb2b0,TC-LUP,A21N,May 2023,THY
4bb213,TC-LPS,A21N,Aug 2025,THY
4d20b1,9H-WMG,A21N,,WZZ
8014dd,VT-TVE,A21N,May 2022,AIC
781f5a,B-32E9,A21N,Feb 2023,CQH
71c356,HL8356,A21N,,AAR
4bb26f,TC-LSO,A21N,Dec 2019,THY
801778,VT-NCE,A21N,,IGO
4bb212,TC-LPR,A21N,,THY
801746,VT-ICZ,A21N,Nov 2024,IGO
407837,G-UZMG,A21N,Nov 2019,EZY
471f9e,HA-LZI,A21N,Nov 2021,WZZ
7586b0,RP-C4126,A21N,Apr 2021,CEB
4bc88d,TC-RDM,A21N,,PGT
801768,VT-NCF,A21N,,IGO
80148d,VT-ILY,A21N,Nov 2021,IGO
781862,B-30D9,A21N,Jan 2020,CCA
71c556,HL8556,A21N,Nov 2023,KAL
a4df52,N413AN,A21N,,AAL
a7fa70,N613FR,A21N,Jan 2023,FFT
4bb281,TC-LTA,A21N,Oct 2020,THY
471dbe,HA-LGW,A21N,,WMT
a5ac3b,N465AN,A21N,Dec 2022,AAL
4bc88b,TC-RDK,A21N,Dec 2023,PGT
a4dd65,N412UW,A21N,Nov 2019,AAL
46b831,SX-NAQ,A21N,,AEE
a0b848,N14548,A21N,Sep 2025,UAL
789296,B-KKM,A21N,,HKE
a6f23d,N547DE,A21N,,DAL
8881d7,VN-A526,A21N,,VJC
408213,G-HLYJ,A21N,,EXS
a6bbef,N533DT,A21N,,DAL
76b869,9V-NCI,A21N,Jan 2020,TGW
4bb204,TC-LPD,A21N,Apr 2024,THY
49530c,CS-TXL,A21N,Jan 2023,TAP
801445,VT-ILR,A21N,Aug 2021,IGO
a97d43,N710NK,A21N,,NKS
4bc8c5,TC-RFE,A21N,Sep 2024,PGT
4bc8c1,TC-RFA,A21N,,PGT
a69bcd,N525DA,A21N,Jun 2023,DAL
407ff4,G-WUKZ,A21N,Oct 2023,WUK
7821fc,B-32KT,A21N,,CES
801744,VT-ICH,A21N,,IGO
80174b,VT-NCA,A21N,Dec 2024,IGO
4bc88b,TC-RDK,A21N,Dec 2023,PGT
471db3,HA-LGL,A21N,,WMT
a1cf6b,N2157J,A21N,Aug 2023,JBU
7609e4,AP-BOD,A21N,Sep 2020,ABQ
4bb274,TC-LST,A21N,Apr 2020,THY
471f41,HA-LVT,A21N,Jul 2021,WMT
4d208e,9H-WMC,A21N,,WZZ
4d2423,9H-WAO,A21N,Jul 2020,WZZ
789266,B-HPP,A21N,Mar 2023,CPA
3c64ac,D-AIEL,A21N,Oct 2021,DLH
a67f81,N518DQ,A21N,Dec 2022,DAL
80175a,VT-IWU,A21N,Jan 2025,IGO
471f3d,HA-LVP,A21N,,WZZ
40087a,G-EUPK,A319,May 2000,BAW
a3d4c6,N346NB,A319,Aug 2002,DAL
4ba996,TC-JLV,A319,Jun 2011,THY
ac4e85,N892UA,A319,Nov 2006,UAL
44033e,OE-LQA,A319,Feb 2009,EJU
44ce6a,OO-SSJ,A319,Jun 2002,BEL
400879,G-EUPJ,A319,Apr 2000,BAW
e80258,CC-CPF,A319,Jul 2006,LPE
44061b,OE-LKK,A319,Feb 2008,EJU
ac7658,N9018E,A319,Jun 2014,AAL
a3b0fe,N337NB,A319,Feb 2002,DAL
a396fd,N330NB,A319,Jul 2001,DAL
a423c4,N366NB,A319,Jul 2003,DAL
ab3655,N821UA,A319,Dec 1998,UAL
c05bc6,C-GITP,A319,Jul 2001,ROU
a37335,N321NB,A319,Jan 2001,DAL
3c5ee7,D-AGWG,A319,Jun 2007,EWG
44064a,OE-LQL,A319,Jan 2009,EJU
7cae03,VH-8NP,A319,Apr 2005,NWK
7806c3,B-6417,A319,Nov 2010,CBJ
3c6597,D-AILW,A319,Jun 1998,DLH
40653e,G-EZGO,A319,Jun 2011,EZY
40087a,G-EUPK,A319,May 2000,BAW
4d2410,9H-EXS,A319,,EWG
ab5dd4,N831UA,A319,Jul 2000,UAL
3c5ef5,D-AGWU,A319,Jan 2013,EWG
440c32,OE-LKV,A319,Jul 2011,EJU
498422,2801,A319,,CEF
4d2411,9H-EXT,A319,,EWG
3c6585,D-AILE,A319,Nov 1996,DLH
704020,XY-ALZ,A319,Sep 2009,MMA
3461cf,EC-NDH,A319,Feb 2008,VOE
40093e,G-EUOE,A319,Aug 2001,BAW
3c658d,D-AILM,A319,Jun 1997,DLH
ac7658,N9018E,A319,Jun 2014,AAL
aa64ca,N769US,A319,Nov 2000,AAL
4ca8f0,EI-IMO,A319,Jun 2002,ITY
3946e5,F-GRXF,A319,Mar 2003,AFR
44061b,OE-LKK,A319,Feb 2008,EJU
e485b2,PT-TME,A319,Jul 2010,TAM
406446,G-EZGI,A319,Jan 2011,EZY
406319,G-EZFU,A319,Jan 2010,EZY
4008f1,G-EUPW,A319,Feb 2001,BAW
e4894e,PT-TMG,A319,Jun 2011,TAM
e48198,PR-MBU,A319,Jul 2008,TAM
4ca8f0,EI-IMO,A319,Jun 2002,ITY
440172,OE-LQX,A319,Aug 2008,EJU
3c5eea,D-AGWJ,A319,Feb 2008,EWG
44ce6f,OO-SSO,A319,Aug 2004,BEL
3c6597,D-AILW,A319,Jun 1998,DLH
8840f9,HS-PGY,A319,Mar 2008,BKP
44ce75,OO-SSU,A319,Apr 2004,BEL
aa3994,N758US,A319,Oct 2000,AAL
680009,A5-DOR,A319,Feb 2010,BTN
3c5eeb,D-AGWK,A319,Apr 2008,EWG
4ca8f4,EI-IMB,A319,Aug 2003,ITY
a423c4,N366NB,A319,Jul 2003,DAL
405b67,G-EZDN,A319,Jul 2008,EZY
405637,G-EZDI,A319,May 2008,EZY
4ba995,TC-JLU,A319,Apr 2011,THY
346193,EC-NCB,A319,Sep 2003,VOE
4d2411,9H-EXT,A319,,EWG
406539,G-EZGJ,A319,Jan 2011,EZY
4caaa7,EI-IMV,A319,Jan 2013,ITY
e48950,PR-MYL,A319,May 2011,TAM
4c01e3,YU-APD,A319,Oct 2004,ASL
884206,HS-PPF,A319,Dec 2005,BKP
405637,G-EZDI,A319,May 2008,EZY
e4894e,PT-TMG,A319,Jun 2011,TAM
3c658d,D-AILM,A319,Jun 1997,DLH
3c644b,D-AIBK,A319,Feb 2004,DLH
4ba995,TC-JLU,A319,Apr 2011,THY
a3a5d9,N334NB,A319,Dec 2001,DAL
ac033e,N873UA,A319,Jun 2003,UAL
40093f,G-EUOG,A319,Sep 2001,BAW
3c6584,D-AILD,A319,Sep 1996,DLH
ace81d,N93003,A319,Jul 2013,AAL
aaf27c,N804UA,A319,Nov 1997,UAL
a3b4b5,N338NB,A319,Feb 2002,DAL
aa35e1,N757UW,A319,Sep 2000,AAL
4ba994,TC-JLT,A319,Apr 2011,THY
406445,G-EZGH,A319,Jan 2011,EZY
400877,G-EUPG,A319,Apr 2000,BAW
ab6394,N833AW,A319,Oct 2002,AAL
405636,G-EZDH,A319,Apr 2008,EZY
4caaa8,EI-IMW,A319,Nov 2012,ITY
ab19fb,N814UA,A319,Jul 1998,UAL
3c644c,D-AIBL,A319,Jan 2004,DLH
4a0441,YR-ABA,A319,Feb 2007,BTI
44061b,OE-LKK,A319,Feb 2008,EJU
ab7067,N836UA,A319,Mar 2001,UAL
a71980,N557AV,A319,Feb 2012,AVA
501d18,9A-CTG,A319,Jan 1998,CTN
3c6451,D-AIBQ,A319,Dec 2005,DLH
e49314,PT-TMO,A319,Jan 2011,TAM
440c32,OE-LKV,A319,Jul 2011,EJU
345659,EC-MUC,A319,Feb 2004,VOE
e8020c,CC-CQL,A319,Sep 2006,LPE
34324e,EC-KUB,A319,Sep 2008,IBE
780574,B-6248,A319,May 2009,CQN
78091b,B-6945,A320,Nov 2012,CSN
4d22b5,9H-LON,A320,Feb 2007,RYR
346614,EC-NOS,A320,Sep 2009,VOE
406011,G-EZTG,A320,Jun 2009,EZY
748026,OD-MRL,A320,Jan 2012,MEA
880c4d,HS-CBM,A320,,AIQ
406c71,G-EZOA,A320,Dec 2014,EZY
3c4b45,D-ABZE,A320,Mar 2008,EWG
347601,EC-ODN,A320,,VLG
7c6c90,VH-VQA,A320,Jan 2009,JST
8a09a7,PK-BLB,A320,Sep 2016,BTK
406091,G-EUYE,A320,May 2009,SHT
a8a6d0,N657AW,A320,Sep 1999,AAL
a71ded,N558JB,A320,Dec 2002,JBU
a418b2,N363NW,A320,Nov 1998,DAL
88084f,HS-BBO,A320,Aug 2014,AIQ
4d245c,9H-WZR,A320,,WZZ
e491f0,PR-TYQ,A320,Oct 2015,TAM
3c6473,D-AICS,A320,Oct 2010,CFG
8a0441,PK-AZI,A320,Jun 2012,AWQ
344648,EC-MDK,A320,Oct 2014,IBE
aa4d77,N763JB,A320,Nov 2008,JBU
4b1616,HB-IJM,A320,Oct 1996,SWR
4b18f1,HB-JLP,A320,Feb 2011,EDW
73828b,4X-ABY,A320,Jan 2007,ISR
4d253b,9H-EUQ,A320,,EWG
8013ca,VT-VNS,A320,Jun 2014,AXB
3c56f7,D-AEWW,A320,Mar 2017,EWG
86d5e5,JA823P,A320,Nov 2018,APJ
a43c7a,N372NW,A320,Oct 2001,DAL
0d0a26,XA-VRA,A320,Dec 2016,VOI
780653,B-6670,A320,Apr 2010,CBG
8007ce,VT-IFR,A320,Jul 2013,IGO
88084f,HS-BBO,A320,Aug 2014,AIQ
896398,A6-EIW,A320,Dec 2013,ETD
78066e,B-6678,A320,Jul 2010,CSN
a5b1a8,N466UA,A320,Oct 2000,UAL
e8043e,CC-BFA,A320,Aug 2012,ARE
471f55,HA-LWN,A320,Mar 2012,WMT
880844,HS-BBD,A320,Apr 2013,AIQ
a8a319,N656AW,A320,Aug 1999,AAL
ab355c,N821JB,A320,Dec 2012,JBU
347258,EC-NTU,A320,Jan 2014,VOE
a1a21f,N204NV,A320,May 2012,AAY
88084a,HS-BBJ,A320,Oct 2013,AIQ
01026b,SU-SKE,A320,Dec 2008,SVI
4520aa,LZ-FBG,A320,Feb 2014,CFG
75047c,9M-RAA,A320,Apr 2018,AXM
06a094,A7-AHJ,A320,Jul 2011,QTR
76d255,9V-TRU,A320,Dec 2012,TGW
4ca900,EI-EID,A320,Nov 2010,ITY
44022b,OE-LXB,A320,Apr 2008,AUA
4691c3,SX-DNC,A320,Jan 2016,AEE
73828a,4X-ABX,A320,,ISR
4d22ad,9H-LMG,A320,Jan 2011,RYR
3451d3,EC-MKM,A320,Feb 2016,VLG
0ac95b,HK-5318,A320,May 2019,AVA
06a1e0,A7-LAF,A320,Jun 2015,QTR
00b22e,ZS-SZL,A320,Jul 2007,SAA
4ca27f,EI-DEK,A320,Mar 2005,EIN
e49763,PR-TQC,A320,Sep 2011,TAM
4d240c,9H-EUU,A320,Jul 2010,EWG
c00899,C-FDGQ,A320,,ACA
a5b916,N468UA,A320,Nov 2000,UAL
407f64,G-EJCD,A320,Jun 2009,EZY
89637d,A6-EIT,A320,Sep 2013,ETD
4691c1,SX-DNA,A320,Jun 2015,AEE
503d40,LY-FAS,A320,Apr 2010,ASL
4b1942,HB-JOS,A320,Jul 2010,CSW
c0248c,C-FNVV,A320,Jan 1993,ACA
780a9e,B-LPO,A320,Dec 2015,CRK
75875e,RP-C4262,A320,Mar 2013,CEB
8965fa,A6-AUG,A320,Jun 2014,ADY
8966b2,A6-RMA,A320,Sep 2004,VYU
71c328,HL8328,A320,Jan 2012,ABL
a0480b,N117UW,A320,Apr 2000,AAL
780889,B-6895,A320,May 2012,CSN
3c4b4e,D-ABZN,A320,Mar 2007,EWG
a8955e,N652NK,A320,Jan 2017,NKS
e8021f,CC-CQP,A320,Jul 2008,ARE
44cdc9,OO-SNI,A320,Mar 2003,BEL
a582bb,N454UA,A320,Sep 1999,UAL
440019,OE-ICF,A320,May 2011,EJU
8966ad,A6-AQN,A320,,ABY
461f62,OH-LXA,A320,Jan 2001,FIN
4d24fa,9H-SWK,A320,,SXS
440159,OE-INA,A320,May 2017,EJU
4b1620,HB-IJW,A320,Dec 2003,EDW
a6a00b,N526JL,A320,Jul 2001,JBU
4d24d2,9H-SWG,A320,May 2011,EWG
880c49,HS-CBI,A320,Jul 2018,AIQ
4408de,OE-LBY,A320,Apr 2012,AUA
a562aa,N446UA,A320,May 1998,UAL
0180a4,5A-TAJ,A320,Sep 2009,CWN
4d2013,9H-EUO,A320,,EWG
78007a,B-8077,A320,Jul 2015,CSZ
7503fd,9M-AJZ,A320,Apr 2016,AXM
44cdd0,OO-SNP,A320,May 2013,BEL
e0814b,LV-HEK,A320,Nov 2018,JES
152021,RA-73761,A320,,AFL
a3df1e,N349DX,A321,May 2018,DAL
e485b0,PT-MXF,A321,Jun 2010,TAM
845dcc,JA113A,A321,Dec 2016,ANA
a475a3,N387DN,A321,Jul 2019,DAL
780ac5,B-LEE,A321,Jul 2017,HKE
4baa6c,TC-JSL,A321,Jun 2013,THY
394c14,F-GTAU,A321,Feb 2009,AFR
471f62,HA-LXA,A321,Nov 2015,WMT
471f6d,HA-LXL,A321,Jan 2017,WMT
4b9c61,TC-GCA,A321,,THY
394c14,F-GTAU,A321,Feb 2009,AFR
471efd,HA-LTD,A321,May 2018,WMT
899072,B-16226,A321,Sep 2016,EVA
a47d11,N389DN,A321,Feb 2019,DAL
789206,B-LEH,A321,Oct 2017,HKE
e4925f,PT-XPQ,A321,Apr 2016,TAM
3c6485,D-AIDE,A321,Feb 2011,DLH
471f73,HA-LXR,A321,Mar 2017,WZZ
780d0e,B-1605,A321,Nov 2014,CSN
4690e1,SX-DGA,A321,Apr 2009,AEE
885972,HS-VKR,A321,Feb 2016,TVJ
a704f9,N551UW,A321,Nov 2011,AAL
a071c2,N128DN,A321,,DAL
3c6483,D-AIDC,A321,Jan 2011,DLH
4baa53,TC-JRS,A321,Jun 2011,THY
7803ef,B-6331,A321,Sep 2007,CES
4baa42,TC-JRB,A321,Aug 2006,THY
71c073,HL8073,A321,Oct 2006,ASV
7811e3,B-8687,A321,Jun 2017,CSC
4010dc,G-EUXL,A321,Sep 2007,EFW
345314,EC-MOO,A321,Dec 2016,VLG
0d08f4,XA-VLJ,A321,May 2015,VOI
780ec3,B-MCE,A321,Jan 2016,AMU
c051cc,C-GEZJ,A321,Dec 2009,TSC
780d0f,B-1606,A321,Nov 2014,CSN
345249,EC-MMU,A321,Jul 2016,VLG
471f02,HA-LTI,A321,Aug 2019,WMT
a471ec,N386DN,A321,Oct 2019,DAL
345248,EC-MMH,A321,Jun 2016,VLG
e80440,CC-BEA,A321,Nov 2014,LAN
78041c,B-MBB,A321,Mar 2013,AMU
3c648d,D-AIDM,A321,Nov 2011,DLH
780fa6,B-8543,A321,,CBJ
acb285,N917UY,A321,Jan 2015,AAL
a06e0b,N127DN,A321,Aug 2021,DAL
4691c7,SX-DNG,A321,Nov 2005,AEE
7583ab,RP-C9923,A321,Apr 2015,GAP
3c664d,D-AIRM,A321,Dec 1994,DLH
394c14,F-GTAU,A321,Feb 2009,AFR
471f70,HA-LXO,A321,Feb 2017,WMT
345043,EC-MHS,A321,Jul 2015,VLG
888133,VN-A630,A321,Apr 2017,VJC
7c6d7e,VH-VWW,A321,May 2009,JST
471f67,HA-LXF,A321,Jun 2016,WMT
345359,EC-MPV,A321,Jan 2017,VLG
4baa50,TC-JRP,A321,Apr 2011,THY
3c664f,D-AIRO,A321,Nov 1995,DLH
a4795a,N388DN,A321,Sep 2019,DAL
a71b43,N557UW,A321,Aug 2012,AAL
7807cd,B-6825,A321,Nov 2011,CCA
a18403,N197UW,A321,May 2009,AAL
a04b24,N118NN,A321,Jun 2014,AAL
a18403,N197UW,A321,May 2009,AAL
4b9e46,TC-GRF,A321,,STW
89906b,B-16220,A321,Aug 2015,EVA
adde95,N993JE,A321,Mar 2018,JBU
394c18,F-GTAY,A321,Mar 2010,AFR
a013e8,N104DN,A321,May 2020,DAL
a9768a,N709FR,A321,Apr 2016,FFT
781032,B-8641,A321,Sep 2016,CSN
3c56a1,D-AEUA,A321,May 2003,GEC
a39017,N329DN,A321,Nov 2017,DAL
4b1691,HB-IOF,A321,Jun 1995,SWR
ac81d2,N905AU,A321,Jun 2017,AAL
34535a,EC-MQB,A321,Mar 2017,VLG
4baa76,TC-JSV,A321,Aug 2015,THY
780486,B-6353,A321,Jun 2008,CSN
78036e,B-6319,A321,Aug 2007,CSN
a466d2,N383DZ,A321,May 2019,DAL
a34ae0,N311DN,A321,Sep 2016,DAL
151dce,RA-73166,A321,Jul 2018,AFL
a0e431,N157AA,A321,Mar 2016,AAL
888125,VN-A673,A321,May 2016,VJC
e491ae,PT-XPI,A321,Aug 2015,TAM
3c6641,D-AIRA,A321,Dec 1993,DLH
80058a,VT-PPX,A321,Apr 2010,AIC
a8c44b,N664NK,A321,Mar 2016,NKS
342107,EC-JDM,A321,Nov 2004,IBE
4baa7a,TC-JSZ,A321,Sep 2015,THY
471f02,HA-LTI,A321,Aug 2019,WMT
3c648f,D-AIDO,A321,Jan 2012,EWG
781412,B-300E,A321,Jun 2018,CBJ
4b9e44,TC-GRD,A321,Nov 2013,STW
88808b,VN-A324,A321,,HVN
a06a54,N126DN,A321,,DAL
3c6646,D-AIRF,A321,Apr 1994,DLH
151fed,RA-73709,A321,,AFL
344699,EC-MGY,A321,Jun 2015,VLG
e490c2,PT-XPB,A321,Dec 2014,TAM
4baa8b,TC-JTK,A321,May 2016,THY
4ba9da,TC-JNZ,A333,Dec 2013,THY
7801ca,B-LAE,A333,Jun 2007,CPA
4ba9cb,TC-JNK,A333,Nov 2010,THY
ab398a,N822NW,A333,Apr 2015,DAL
3c656c,D-AIKL,A333,Jan 2008,DLH
77058d,4R-ALM,A333,Nov 2014,ALK
7c531d,VH-QPB,A333,Oct 2003,QFA
780235,B-LAJ,A333,Sep 2010,CPA
780a59,B-LBC,A333,Jul 2013,CPA
4b1886,HB-JHM,A333,Oct 2012,SWR
8a09e0,PK-LEY,A333,Feb 2015,LNI
3c656e,D-AIKN,A333,Apr 2008,DLH
7801b6,B-HLW,A333,Nov 2003,CPA
4bb1e2,TC-LOB,A333,Jan 2014,THY
78929b,B-LHP,A333,Jan 2018,CRK
71c502,HL8502,A333,,TWB
3c6573,D-AIKS,A333,Feb 2014,DLH
780a0a,B-LAM,A333,Jun 2011,CPA
8991b9,B-18311,A333,Apr 2006,CAL
71bd53,HL7553,A333,Apr 1999,KAL
406832,G-VWAG,A333,Sep 2012,VIR
407be6,G-EIDY,A333,May 2009,EUK
8991b6,B-18308,A333,Sep 2005,CAL
71bd85,HL7585,A333,Jul 2000,KAL
780195,B-HYG,A333,Apr 2001,CPA
780a6c,B-LNO,A333,Jan 2013,CRK
7c5324,VH-QPI,A333,Oct 2005,QFA
8991b5,B-18307,A333,Aug 2005,CAL
71bf94,HL7794,A333,Aug 2010,AAR
7100b7,HZ-AQ13,A333,Jun 2016,SVA
06a3bd,A7-AEP,A333,Oct 2014,QTR
15203c,RA-73788,A333,Oct 2012,AFL
75025d,9M-MTJ,A333,Aug 2012,MAS
4bb1e7,TC-LOG,A333,Dec 2015,THY
7801b9,B-HYQ,A333,Mar 2004,CPA
780195,B-HYG,A333,Apr 2001,CPA
c05840,C-GHKX,A333,Jun 2001,ACA
8a0532,PK-GPY,A333,Sep 2015,GIA
ab599b,N830NW,A333,Jan 2017,DAL
75025a,9M-MTG,A333,May 2012,MAS
71bd54,HL7554,A333,Jan 1999,KAL
71bd54,HL7554,A333,Jan 1999,KAL
71004a,HZ-AQA,A333,Mar 2010,SVA
4ba9e8,TC-JOH,A333,Apr 2015,THY
780bd9,B-5939,A333,Dec 2013,CSN
7803ae,B-6512,A333,Feb 2010,CCA
781590,B-304K,A333,Oct 2018,CHH
461f0c,OH-LTS,A333,Nov 2009,QFA
780a4a,B-LAX,A333,Nov 2012,CPA
71bf47,HL7747,A333,Nov 2006,AAR
a780ad,N5827K,A333,Jan 1965,HAL
780a4b,B-LAZ,A333,Jan 2013,CPA
3444c4,EC-LZJ,A333,Dec 2013,IBE
886290,HS-XTP,A333,,TAX
71bd85,HL7585,A333,Jul 2000,KAL
71bd86,HL7586,A333,Jul 2000,KAL
7c5322,VH-QPG,A333,May 2004,QFA
3c6564,D-AIKD,A333,Aug 2004,OCN
71c286,HL8286,A333,Oct 2013,AAR
71012f,HZ-AQ26,A333,Jun 2017,SVA
710050,HZ-AQG,A333,Jan 2011,SVA
4ba9e7,TC-JOG,A333,Mar 2015,THY
71c501,HL8501,A333,Oct 2009,TWB
78018f,B-HLO,A333,Mar 2001,CPA
780a0d,B-LAP,A333,Aug 2012,CPA
750257,9M-MTD,A333,May 2011,MAS
71c561,HL8561,A333,Jul 2014,TWB
3c656f,D-AIKO,A333,Jan 2009,OCN
484fff,PH-AKE,A333,Jan 2013,KLM
